instance,n,v,objective,bf_optimum,lp_lb,lp_ratio,milp_value,milp_status,milp_time_ms,sound,milp_matches_bf
problems/2_2/5_1767711946895.json,2,2,DISTANCE,1275.963515,1110.687519,0.870470,1275.963515,OPTIMAL,5,true,true
problems/2_2/5_1767711946895.json,2,2,PRICE,1625.415249,1451.225416,0.892834,1625.415249,OPTIMAL,5,true,true
problems/2_2/6_1767711946895.json,2,2,DISTANCE,1384.089348,1139.965112,0.823621,1384.089348,OPTIMAL,6,true,true
problems/2_2/6_1767711946895.json,2,2,PRICE,2001.151924,1652.062805,0.825556,2001.151924,OPTIMAL,5,true,true
problems/2_2/7_1767711946895.json,2,2,DISTANCE,1739.287724,1385.569346,0.796630,1739.287724,OPTIMAL,11,true,true
problems/2_2/7_1767711946895.json,2,2,PRICE,4029.535458,3351.502327,0.831734,4029.535458,OPTIMAL,4,true,true
problems/2_2/8_1767711946895.json,2,2,DISTANCE,305.065509,214.052746,0.701662,305.065509,OPTIMAL,9,true,true
problems/2_2/8_1767711946895.json,2,2,PRICE,775.541772,451.028751,0.581566,775.541772,OPTIMAL,10,true,true
problems/2_2/9_1767711946895.json,2,2,DISTANCE,1157.257082,681.633459,0.589008,1157.257082,OPTIMAL,13,true,true
problems/2_2/9_1767711946895.json,2,2,PRICE,2148.038547,1284.692597,0.598077,2148.038547,OPTIMAL,10,true,true
problems/2_3/0_1767711946895.json,3,2,DISTANCE,1554.255610,960.360570,0.617891,1554.255610,OPTIMAL,201,true,true
problems/2_3/0_1767711946895.json,3,2,PRICE,1937.625596,1225.255388,0.632349,1937.625596,OPTIMAL,77,true,true
problems/2_3/1_1767711946895.json,3,2,DISTANCE,2306.394222,758.737780,0.328971,2306.394222,OPTIMAL,62,true,true
problems/2_3/1_1767711946895.json,3,2,PRICE,4607.894653,1489.576467,0.323266,4607.894653,OPTIMAL,37,true,true
problems/2_3/2_1767711946895.json,3,2,DISTANCE,1591.366352,1054.588507,0.662694,1591.366352,OPTIMAL,36,true,true
problems/2_3/2_1767711946895.json,3,2,PRICE,1749.965273,1174.426667,0.671114,1749.965273,OPTIMAL,16,true,true
problems/2_3/3_1767711946895.json,3,2,DISTANCE,1491.845820,709.815778,0.475797,1491.845820,OPTIMAL,12,true,true
problems/2_3/3_1767711946895.json,3,2,PRICE,3484.109655,1675.344453,0.480853,3484.109655,OPTIMAL,11,true,true
problems/2_3/4_1767711946895.json,3,2,DISTANCE,1244.094642,1197.090363,0.962218,1244.094642,OPTIMAL,6,true,true
problems/2_3/4_1767711946895.json,3,2,PRICE,1630.505042,1573.717367,0.965172,1630.505042,OPTIMAL,11,true,true
problems/2_3/5_1767711946895.json,3,2,DISTANCE,1614.267472,1418.110802,0.878486,1614.267472,OPTIMAL,9,true,true
problems/2_3/5_1767711946895.json,3,2,PRICE,2887.152479,2266.432868,0.785006,2887.152479,OPTIMAL,47,true,true
problems/2_3/6_1767711946895.json,3,2,DISTANCE,665.802868,445.596227,0.669262,665.802868,OPTIMAL,86,true,true
